Mainframe console	dumb terminals
Computer kiosk
Ultra mobile personal computer
Mainframe computers
Wearable computing devices
Tablet computers
Computer workstation
Personal computers
Thin client computers
Point of sale POS terminal
Personal digital assistant	PDA	personal digital organizers
Notebook computers
High end computer servers
Computer servers
Desktop computers
Peripheral switch boxes
Docking stations
Computer speakers
Signal processor upgrades
Computer switch boxes
Multimedia kits
Port replicators
Personal digital assistant PDA holder
Encoder decoder equipment
Universal serial bus hubs	Universal serial bus connectors
Computer country or localization kits
Handheld PDA Starter Kits
Computer accessory kits
Computer or notebook stands
Bluetooth universal serial bus USB adapter
Notebook computer expansion dock
Universal serial bus USB extension cable
Universal serial bus general packet radio service	USB GPRS modem
Notebook computer carrying case
Game pads	joy sticks
Currency recognition equipment
Scanners
Bar code reader equipment
Keyboards
Magnetic stripe readers and encoders
Radio frequency identification devices
Light stylus
Optical mark reader
Graphics tablets
Touch pads
Biometric identification equipment
Portable data input terminals
Optical character recognition systems
Camera based vision systems for automated data collection
Voice microphones for computers
Computer mouse or trackballs
Pressure stylus
Business card scanner
Electronic voting or vote-counting equipment
Computer peripheral kit
Compact disc or digital versatile disc CD/DVD cleaner
Digital pen
Magnetic ink character recognition MICR device
Smart card dummy terminal
Punch card readers
Point of sale payment terminal
Keyboard wrist rest
Computer data input device covers
Mouse pads
Key board skins
Keyboard drawers or shelves
Service kits for storage devices
Mouse wrist rest
Plasma display panels PDP
Touchscreen glass
Display tilt mechanism
Poly light emitting diode LED display
Vacuum fluorescent display
Head mounted displays
Touch screen monitors
Organic light emitting displays
LCD passive display
Touchscreen film
Liquid crystal display LCD panels or monitors
Cathode ray tube CRT monitors
Character displays
LCD active display
Monitor arms or stands
Computer display glare screens
Dye sublimination printers
Dot matrix printers
Inkjet printers
Laser printers
Line matrix printers
Plotter printers
Thermal tape printers
Bag tag printer
Multi function printers
Airline ticket or boarding pass ATB printers
Point of sale POS receipt printers
Compact disc CD or labeling printers
Digital image printers
Bar code printer
Radio frequency identification RFID tag printer
Band printers
